"","date","province","country","lat","long","type","cases"
"197","2020-08-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"198","2020-08-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"199","2020-08-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"200","2020-08-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"201","2020-08-09","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"202","2020-08-10","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"203","2020-08-11","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"204","2020-08-12","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"205","2020-08-13","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"206","2020-08-14","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"207","2020-08-15","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"208","2020-08-16","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"209","2020-08-17","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"210","2020-08-18","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"211","2020-08-19","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"212","2020-08-20","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"213","2020-08-21","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"214","2020-08-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"215","2020-08-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"216","2020-08-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"217","2020-08-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"218","2020-08-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"219","2020-08-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"220","2020-08-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"221","2020-08-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"222","2020-08-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
